256,0.357771,1000
104,0,0.0061699,0.0039642
104,0,0.0419939,0.00667853
104,0,0.028811,0.0186572
104,0,0.085701,0.0193593
104,0,0.0174619,0.025987
104,0,0.0585215,0.0230118
104,0,0.0898613,0.0305865
104,0,0.00570442,0.0428562
104,0,0.0584437,0.0465608
104,0,0.07489,0.0440876
104,0,0.055064,0.0594478
104,0,0.0857286,0.0574918
104,0,0.00116365,0.0637858
104,0,0.0646064,0.0612623
104,0,0.0446795,0.0725532
104,0,0.0592784,0.0713127
104,0,0.0830665,0.0728395
104,0,0.0100831,0.0865453
104,0,0.0489896,0.0843325
104,0,0.0856764,0.0850968
106,0,0.00561387,0.00494377
106,0,0.042113,0.00730167
106,0,0.0297027,0.0184464
106,0,0.0858273,0.0199695
106,0,0.0171131,0.0251306
106,0,0.0582073,0.0238679
106,0,0.0896941,0.0317374
106,0,0.00481051,0.0426812
106,0,0.057985,0.0460296
106,0,0.0743066,0.044126
106,0,0.054172,0.0591273
106,0,0.085871,0.0571705
106,0,0.000676234,0.0638242
106,0,0.0640694,0.0602106
106,0,0.0440897,0.0719207
106,0,0.058365,0.0714531
106,0,0.0838443,0.0720554
106,0,0.00902622,0.0865216
106,0,0.0488545,0.0854014
106,0,0.0854377,0.0849239
